Lungs,Weight Change,Loss
Neuroendocrine ,Breathing Problems,"Shortness of breath, Rapid"
Neuroendocrine ,Cough,General
Neuroendocrine ,Gastrointestinal Problems,Diarrhoea
Neuroendocrine ,Problems with Stool,Diarrhoea
Neuroendocrine ,Problems with Urine,Increased frequency
Neuroendocrine ,Swelling,Ankles
Neuroendocrine ,Swelling,Feet 
Neuroendocrine ,Unwell,Dizziness
Neuroendocrine ,Unwell,Fatigue
Neuroendocrine ,Weakness,General
Neuroendocrine ,Weight Change,Loss
Ovarian,Gastrointestinal Problems,"Poor appetite, Persistent"
Ovarian,Gastrointestinal Problems,Vomitting
Ovarian,Nausea,Interferes with eating
Ovarian,Nausea,Mild
Ovarian,Nausea,Unrelieved with medication
Ovarian,Problems with Stool,"Constipation, Persistent"
Ovarian,Swelling,Abdomen 
Pancreas,Gastrointestinal Problems,Poor appetite
Pancreas,Gastrointestinal Problems,Vomiting
Pancreas,Itching,Skin
Pancreas,Itching,Skin
Pancreas,Nausea,Interferes with eating
Pancreas,Nausea,Mild
Pancreas,Nausea,Unrelieved with medication
Pancreas,Numbness,Feet 
Pancreas,Numbness,Feet 
Pancreas,Numbness,Hands
Pancreas,Problems with Skin,Itching
Pancreas,Problems with Skin,Itching
Pancreas,Problems with Urine,Dark coloured
Pancreas,Problems with Urine,Increased frequency
Pancreas,Swelling,General
Pancreas,Unwell,"Fatigue, Unable to carry-on self-care"
Pancreas,Unwell,Poor appetite
Peritoneum ,Breathing Problems,Shortness of breath
Peritoneum ,Difficulty,Breathing in
Peritoneum ,Gastrointestinal Problems,Constipation
Peritoneum ,Gastrointestinal Problems,Diarrrhoea
Peritoneum ,Gastrointestinal Problems,Early fullness
Peritoneum ,Gastrointestinal Problems,Poor appetite
Peritoneum ,Nausea,Interferes with eating
Peritoneum ,Nausea,Mild
Peritoneum ,Nausea,Unrelieved with medication
Peritoneum ,Problems with Stool,Constipation
Peritoneum ,Problems with Stool,Diarrhoea
Peritoneum ,Problems with Urine,Increased frequency
Peritoneum ,Swelling,General
Peritoneum ,Unwell,Poor appetite
Peritoneum ,Weight change,Loss
Renal cell carcinoma ,Bleeding,Urine
Skin,Itching,Skin
Skin ,Abnormalities,Change in size of mole 
Skin ,Bleeding,General
Stomach,Gastrointestinal Problems,Early fullness
Stomach,Gastrointestinal Problems,Vomiting
Stomach,Nausea,Interferes with eating
Stomach,Nausea,Mild
Stomach,Nausea,Unrelieved with medication
Stomach,Swelling,Abdomen
Stomach,Weight change,Loss
